country_code,country_name,language_name,wiki_language_code
AE,United Arab Emirates,Arabic,ar
AF,Afghanistan,Persian,fa
AR,Argentina,Spanish,es
AT,Austria,German,de
AU,Australia,English,en
BE,Belgium,French,fr
BR,Brazil,Portuguese,pt
CA,Canada,English,en
CH,Switzerland,French,fr
CN,China,Chinese,zh
CN,Hong Kong,Chinese,zh
CO,Colombia,Spanish,es
DE,Germany,German,de
DK,Denmark,Danish,da
ES,Spain,Spanish,es
FI,Finland,Finnish,fi
FR,France,French,fr
GB,UK,English,en
HR,Croatia,Russian,ru
ID,Indonesia,Indonesian,id
IE,Ireland,English,en
IL,Israel,Hebrew,he
IN,India,Hindi,hi
IT,Italy,Italian,it
JP,Japan,Japanese,ja
KR,Republic of Korea,Korean,ko
MX,Mexico,Spanish,es
MY,Malaysia,Malay,ms
NL,Netherlands,Dutch,nl
NO,Norway,Norwegian,no
NZ,New Zealand,English,en
PH,Philippines,Filipino,tl
PL,Poland,Polish,pl
RO,Romania,Romanian,ro
SE,Sweden,Swedish,sv
SG,Singapore,English,en
TR,Turkey,Turkish,tr
TW,Taiwan,Chinese,zh
US,United States of America,English,en
ZA,South Africa,Zulu,zu
